epoch,step,tr_loss,va_loss
0,12,,740.423095703125
0,12,803.79150390625,
1,25,,156.82748413085938
1,25,372.91961669921875,
2,38,,165.32040405273438
2,38,143.53692626953125,
3,51,,134.65847778320312
3,51,125.97101593017578,
4,64,,130.2252960205078
4,64,120.28157043457031,
5,77,,132.62245178222656
5,77,115.70664978027344,
6,90,,130.2460174560547
6,90,114.2342300415039,
7,103,,129.20272827148438
7,103,113.82312774658203,
8,116,,130.94969177246094
8,116,113.56317138671875,
9,129,,129.10157775878906
9,129,113.06452941894531,
10,142,,129.38534545898438
10,142,112.83817291259766,
11,155,,130.0225067138672
11,155,113.44893646240234,
12,168,,128.29281616210938
12,168,112.3052749633789,
13,181,,129.1802978515625
13,181,112.74691772460938,
14,194,,128.6997833251953
14,194,112.08174133300781,
15,207,,130.9178466796875
15,207,112.0815658569336,
16,220,,128.29421997070312
16,220,112.56538391113281,
17,233,,129.09423828125
17,233,112.66100311279297,
18,246,,129.33639526367188
18,246,112.17414093017578,
19,259,,130.20233154296875
19,259,112.38386535644531,
20,272,,129.65077209472656
20,272,111.56332397460938,
